TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
99378,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1590 Yosemite Ave,1,Sidewalk: Curb side : Cutout,Private,5/9/12 0:00,1,3x3,37.72641898,-122.3906398
61682,DPW Maintained,Dodonaea viscosa 'Purpurea' :: Purple Hopseed Bush,27 Ceres St,3,Sidewalk: Curb side : Cutout,Private,11/29/84 0:00,4,,37.73050108,-122.3941726
56928,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',990 Greenwich St,1,Sidewalk: Curb side : Cutout,Private,8/15/74 0:00,22,,37.80158032,-122.415819
84909,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,5546 Anza St,3,Sidewalk: Curb side : Cutout,DPW,4/3/07 0:00,3,,37.77718644,-122.507967
8257,DPW Maintained,Pyrus kawakamii :: Evergreen Pear,1525 GALVEZ AVE,4,Sidewalk: Curb side : Cutout,DPW,11/13/92 0:00,6,3x3,37.73983836,-122.3863638
66092,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1045 Filbert St,1,Sidewalk: Curb side : Cutout,Private,9/20/91 0:00,13,,37.80038324,-122.4167231
64913,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',50 California St,1,Sidewalk: Curb side : Cutout,Private,3/21/89 0:00,17,,37.79366637,-122.3971291
112177,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,607 29th Ave,3,Sidewalk: Curb side : Cutout,Private,12/17/15 0:00,9,3x3,37.77771972,-122.488947
66431,Permitted Site,Melaleuca quinquenervia :: Cajeput,610 Gates St,1,Sidewalk: Curb side : Cutout,Private,5/11/15 0:00,3,,37.73578746,-122.4143124
65855,DPW Maintained,Maytenus boaria :: Mayten,3437 Scott St,1,Sidewalk: Curb side : Cutout,Private,5/8/90 0:00,1,,37.80162826,-122.4415542
42277,DPW Maintained,Dodonaea viscosa :: Hop Bush,1718 30th Ave,1,Sidewalk: Curb side : Cutout,Private,6/23/00 0:00,7,,37.75517086,-122.4882625
31750,DPW Maintained,Crataegus laevigata :: English Hawthorn,2546 21st Ave,1,Sidewalk: Curb side : Cutout,Private,6/19/95 0:00,5,,37.74017483,-122.4775564
75865,Undocumented,Lophostemon confertus :: Brisbane Box,598x Ellis St,1,Sidewalk: Curb side : Cutout,Private,5/29/82 0:00,3,,37.78448799,-122.4159885
31133,DPW Maintained,Ligustrum lucidum :: Glossy Privet,212 Gennessee St,1,Sidewalk: Curb side : Cutout,Private,3/21/95 0:00,12,,37.73015332,-122.451075
29235,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1902X 41st Ave,18,Sidewalk: Curb side : Cutout,DPW,3/18/06 0:00,3,3X3,37.75124672,-122.4998218
108694,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1950X Beach St,3,Sidewalk: Curb side : Cutout,Private,1/2/15 0:00,3,3x3,37.80391014,-122.4406133
34850,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,1016 Tennessee St,1,Sidewalk: Curb side : Cutout,Private,8/1/97 0:00,8,,37.75891329,-122.3894506
27661,DPW Maintained,Callistemon viminalis :: Weeping Bottlebrush,2211 Silver Ave,1,Sidewalk: Curb side : Cutout,DPW,12/14/00 0:00,6,3X3,37.73662971,-122.3983162
49515,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,2360@ FILLMORE Broadway,1,Sidewalk: Curb side : Cutout,Private,4/23/03 0:00,4,,37.79423318,-122.4358709
31788,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,160 Alpine Ter,1,Sidewalk: Curb side : Cutout,Private,6/19/95 0:00,4,,37.76797104,-122.4374373
25731,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,501X The Embarcadero,1,Median : Cutout,Port,8/15/96 0:00,16,10,37.79918023,-122.397766
54813,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,330 Locust St,1,Sidewalk: Curb side : Cutout,Private,8/10/72 0:00,10,,37.7879934,-122.4519603
44178,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,3898 Washington St,2,Sidewalk: Curb side : Cutout,Private,10/17/07 0:00,5,3x3,37.7887885,-122.4571116
23065,DPW Maintained,Lophostemon confertus :: Brisbane Box,1171 Valencia St,1,Sidewalk: Curb side : Cutout,DPW,4/29/92 0:00,20,3X3,37.75422083,-122.4207613
109266,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,2215 38th Ave,1,Sidewalk: Curb side : Cutout,Private,2/5/15 0:00,3,3x3,37.74553217,-122.4964238
61779,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,2227 24th St,1,Sidewalk: Curb side : Cutout,Private,1/22/85 0:00,9,,37.75319848,-122.4019758
